Startup;Fonds;Geschlecht;Titel;Vorname;Nachname;Land
Sarcophagus;Greenfield One III GmbH & Co. KG;Herr;;Zach;Hamilton;""
"Schumpeter Enterprises Inc. ""CABANA""";Nordic Eye II SCSp;Herr;;Scott;Kubly;Vereinigte Staaten von Amerika (USA)
Second SAS;42Cap III GmbH & Co KG;"";"";"";"";""
Sennder GmbH;Redalpine Opportunity Fund SCS;Herr;;Julius;Koehler;""
Sennder GmbH;Redalpine Opportunity Fund SCS;Herr;;David;Nothacker;""
Sennder GmbH;Redalpine Opportunity Fund SCS;Herr;;Nicolaus;Schefenacker;""
SenseTime;Alpha Intelligence Capital Fund 1;;;Tang;Xiao’ou;Hong Kong
Sensorium Technology Labs;Quantonation I FPCI;Herr;;Simone;de Liberato;""
ShareIQ;JOIN Capital Fund I GmbH & Co. KG;;;Bernhard;Weißhuhn;Deutschland
ShareIQ;JOIN Capital Fund I GmbH & Co. KG;;;Brian;Killen;Deutschland
Shimmer Inc.;Honeystone Ventures Fund LP;Frau;;Chris;Wang;Vereinigte Staaten von Amerika (USA)
Shimmer Inc.;Honeystone Ventures Fund LP;Herr;;Jon;Wang;Vereinigte Staaten von Amerika (USA)
Shimmer Inc.;Honeystone Ventures Fund LP;Herr;;Vikram;Sreedhar;Vereinigte Staaten von Amerika (USA)
ShowHeros;Redalpine Opportunity Fund SCS;Herr;;Ilhan;Zengin;Deutschland
ShowHeros;Redalpine Opportunity Fund SCS;Herr;;Mario;Tiedemann;Deutschland
ShowHeros;Redalpine Opportunity Fund SCS;Herr;;Dennis;Kirschner;Deutschland
Sidledes AB (Strafe);BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Einar;Ahlström;Schweden
Sidledes AB (Strafe);BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Jonathan;Liberman;Schweden
Sidledes AB (Strafe);BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Robert;Samuelsson;Schweden
Silico Ltd.;Join Capital Fund II GmbH & Co KG;Herr;;John;Hill;Groß-Britanien (UK)
Silico Ltd.;Join Capital Fund II GmbH & Co KG;Herr;;Chris;Spencer;Groß-Britanien (UK)
SimplicityDX;42Cap III GmbH & Co KG;"";"";"";"";""
Skyresponse AB;Nordic Eye II SCSp;Herr;;Martin;Reidevall;Schweden
SmartNanotubes Technologies GmbH;Cottonwood Technology Fund III;Frau;;Birte;Sönnichsen;Deutschland
SmartNanotubes Technologies GmbH;Cottonwood Technology Fund III;Herr;;Viktor;Bezugly;Deutschland
Sneaky Panda Ltd.;BITKRAFT Ventures Fund II, L.P.;Herr;;Niv;Touboul;""
Sneaky Panda Ltd.;BITKRAFT Ventures Fund II, L.P.;Herr;;Ron;Rejwan;""
Solana;a16z - CNK Fund IV, L.P.;Herr;;Anatoly;Yakovenko;Vereinigte Staaten von Amerika (USA)
Solana;a16z - CNK Fund IV, L.P.;Herr;;Greg;Fitzgerald;Vereinigte Staaten von Amerika (USA)
Solana;a16z - CNK Fund IV, L.P.;Herr;;Zed;Zed;Vereinigte Staaten von Amerika (USA)
Solana;a16z - CNK Fund IV, L.P.;Herr;;Raj;Gokal;Vereinigte Staaten von Amerika (USA)
Solana;a16z - CNK Fund IV, L.P.;Herr;;Stephen;Akridge;Vereinigte Staaten von Amerika (USA)
SoundReply GmbH (How.fm);Join Capital Fund II GmbH & Co KG;Herr;;Andreas;Kwiatkowski;""
SoundReply GmbH (How.fm);Join Capital Fund II GmbH & Co KG;Herr;;Farhoud;Cheraghi;""
SpaceX;Redalpine Opportunity Fund SCS;Herr;;Elon;Musk;Vereinigte Staaten von Amerika (USA)
Spilsbury Holdings Inc. (Aztec Network);a16z - CNK Fund IV, L.P.;"";"";"";"";""
Sprocket Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Stackers Inc.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Superbloom Games, Inc.;BITKRAFT Ventures Fund II, L.P.;Frau;;Emily;Yim;Vereinigte Staaten von Amerika (USA)
Superbloom Games, Inc.;BITKRAFT Ventures Fund II, L.P.;Frau;;Ksusha;Zito;Vereinigte Staaten von Amerika (USA)
"Sweeps AI Inc (""ZARAZ"")";Honeystone Ventures Fund LP;Herr;;Yair;Dovrad;Vereinigte Staaten von Amerika (USA)
TEEMYCO;42Cap III GmbH & Co KG;"";"";"";"";""
TILT FIVE;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Jeri;Ellsworth;Vereinigte Staaten von Amerika (USA)
TMV;Nordic Eye II SCSp;"";"";"";"";""
Taxfix;Redalpine Opportunity Fund SCS;;;Mathis;Büchi;Deutschland
Taxfix;Redalpine Opportunity Fund SCS;;;Lino;Teuteberg;Deutschland
Taxfix;Redalpine Opportunity Fund SCS;;;Mathis;Büchi;Deutschland
Taxfix;Redalpine Opportunity Fund SCS;;;Lino;Teuteberg;Deutschland
Taxy.io;42Cap III GmbH & Co KG;Herr;;Sven;Peper;Deutschland
Taxy.io;42Cap III GmbH & Co KG;Herr;;Daniel;Kirch;Deutschland
Taxy.io;42Cap III GmbH & Co KG;Herr;;Steffen;Kirchhoff;Deutschland
Taxy.io;42Cap III GmbH & Co KG;Herr;;Sven;Weber;Deutschland
Tempus Ex;ADvantage Sports Tech Fund LP;Herr;;Charlie;Ebersol;Vereinigte Staaten von Amerika (USA)
Tempus Ex;ADvantage Sports Tech Fund LP;Herr;;Mike;Naquin;Vereinigte Staaten von Amerika (USA)
Tempus Ex;ADvantage Sports Tech Fund LP;Herr;;Erik;Schwartz;Vereinigte Staaten von Amerika (USA)
The Action Network;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Peter;Chernin;Vereinigte Staaten von Amerika (USA)
The Fabricant;Greenfield One III GmbH & Co. KG;Herr;;Kerry;Murphy;Niederlande
The Fabricant;Greenfield One III GmbH & Co. KG;Frau;;Amber;Slooten;Niederlande
The Fabricant;Greenfield One III GmbH & Co. KG;Frau;;Adriana;Hoppenbrouwer;Niederlande
Theai, Inc. (Inworld Al);BITKRAFT Ventures Fund II, L.P.;Herr;;Ilya;Gelfenbeyn;Vereinigte Staaten von Amerika (USA)
Theai, Inc. (Inworld Al);BITKRAFT Ventures Fund II, L.P.;"";;Michael;Ermolenko;Vereinigte Staaten von Amerika (USA)
Theorycraft Games Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Areeb;Pirani;""
Theorycraft Games Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Joe;Tung;""
Theorycraft Games Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Michael;Evans;""
Tolremo Therapeutics AG;Redalpine Capital S.C.S., SICAR III;;;Stefanie;Flückiger;Schweiz
Tolremo Therapeutics AG;Redalpine Capital S.C.S., SICAR III;;;Jens;Okkels;Schweiz
Tonk Tonk Games;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Joon;Kim;Vereinigte Staaten von Amerika (USA)
Track160;ADvantage Sports Tech Fund LP;Herr;;Micky;Tamir;Israel
Track160;ADvantage Sports Tech Fund LP;Herr;;Michael;Birnboim;Israel
Trioscope Studios, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;L.C.;Crowley;Vereinigte Staaten von Amerika (USA)
Trioscope Studios, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Greg;Jonkajtys;Vereinigte Staaten von Amerika (USA)
Trioscope Studios, Inc.;BITKRAFT Ventures Fund II, L.P.;Herr;;Brandon;Barr;Vereinigte Staaten von Amerika (USA)
Tripp Inc;BITKRAFT Ventures Fund II, L.P.;Frau;;Nanea;Reeves;Vereinigte Staaten von Amerika (USA)
Tripp Inc;BITKRAFT Ventures Fund II, L.P.;Frau;;Zachary;Norman;Vereinigte Staaten von Amerika (USA)
Umiami;Redalpine Capital S.C.S., SICAR VI;Herr;;Tristan;Maurel;Frankreich
