Startup;Fonds;Geschlecht;Titel;Vorname;Nachname;Land
Wingback Inc.;42Cap III GmbH & Co KG;"";"";"";"";""
Wolf3D (Wolfprint 3D);a16z - CNK Seed Fund I, L.P.;Herr;;Timmu;Toke;Polen
WorkFusion;Alpha Intelligence Capital Fund 1;;;Andrew;Volkov;Vereinigte Staaten von Amerika (USA)
WorkFusion;Alpha Intelligence Capital Fund 1;;;Max;Yankelevich;Vereinigte Staaten von Amerika (USA)
Wreno;Honeystone Ventures Fund LP;Frau;;Charlotte;Schell;""
Wreno;Honeystone Ventures Fund LP;Herr;;Mark;Barton;""
X-37;Alpha Intelligence Capital Fund 1;;;David;Collier;""
X-37;Alpha Intelligence Capital Fund 1;;;Matthew;Kerby;""
X-37;Alpha Intelligence Capital Fund 1;;;James;Larrick;""
X-37;Alpha Intelligence Capital Fund 1;;;Andrew;Perlman;""
X-37;Alpha Intelligence Capital Fund 1;;;Anie;Roche;""
X-37;Alpha Intelligence Capital Fund 1;;;Ed;Schnipper;""
XSET, Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);Herr;;Greg;Selkoe;Vereinigte Staaten von Amerika (USA)
XSET, Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);Herr;;Clinton;Sparks;Vereinigte Staaten von Amerika (USA)
XSET, Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);Herr;;Will;Eddins;Vereinigte Staaten von Amerika (USA)
Yewno;Alpha Intelligence Capital Fund 1;;;Ruggero;Gramatica;Vereinigte Staaten von Amerika (USA)
Yewno;Alpha Intelligence Capital Fund 1;;;Ruth;Pickering;Vereinigte Staaten von Amerika (USA)
Zama SAS;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Zelros;42CAP II GmbH & Co. KG;;;Christophe;Bourguignat;Frankreich
Zelros;42CAP II GmbH & Co. KG;;;Fabien;Vauchelles;Frankreich
Zelros;42CAP II GmbH & Co. KG;;;Damien;Philippon;Frankreich
ZenJob;Redalpine Opportunity Fund SCS;;;Fritz;Trott;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;;;Cornelius;Rantzau;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;;;Cihan;Aksakal;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;;;Frederik;Fahning;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;;;Fritz;Trott;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;;;Cornelius;Rantzau;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;;;Cihan;Aksakal;Deutschland
ZenJob;Redalpine Opportunity Fund SCS;;;Frederik;Fahning;Deutschland
ZeroEyes, Inc.;Alpha Intelligence Capital Fund 1;Herr;;Tim;Sulzer;Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;Alpha Intelligence Capital Fund 1;Herr;;Mike;Lahiff;Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;Alpha Intelligence Capital Fund 1;Herr;;Rob;Huberty;Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;Alpha Intelligence Capital Fund 1;Herr;;Sam;Alaimo;Vereinigte Staaten von Amerika (USA)
ZeroEyes, Inc.;Alpha Intelligence Capital Fund 1;Herr;;Dustin;Brooks;Vereinigte Staaten von Amerika (USA)
Zharta;Greenfield One III GmbH & Co. KG;Herr;;Pedro;Granate;Portugal
Zharta;Greenfield One III GmbH & Co. KG;Herr;;Diogo;Pires;Portugal
Zharta;Greenfield One III GmbH & Co. KG;Herr;;Nuno;Cortesão;Portugal
aidoc;Alpha Intelligence Capital Fund 1;;;Elad;Walach;Israel
aidoc;Alpha Intelligence Capital Fund 1;;;Michael;Braginsky;Israel
aidoc;Alpha Intelligence Capital Fund 1;;;Guy;Reiner;Israel
aktiia;Redalpine Opportunity Fund SCS;;;Mattia;Bertschi;Schweiz
aktiia;Redalpine Opportunity Fund SCS;;;Josep;Solà;Schweiz
aktiia;Redalpine Opportunity Fund SCS;;;Mattia;Bertschi;Schweiz
aktiia;Redalpine Opportunity Fund SCS;;;Josep;Solà;Schweiz
allcyte;42Cap III GmbH & Co KG;Herr;;Berend;Snijder;Österreich
allcyte;42Cap III GmbH & Co KG;Herr;;Giulio;Superti-Furga;Österreich
allcyte;42Cap III GmbH & Co KG;Herr;;Gregory;Vladimer;Österreich
allcyte;42Cap III GmbH & Co KG;Herr;;Nikolaus;Krall;Österreich
alpha paw;Nordic Eye II SCSp;Herr;;Ramon;van Meer;Vereinigte Staaten von Amerika (USA)
beWanted;JOIN Capital Fund I GmbH & Co. KG;;;Juan;Torroba;Spanien
cioplenu GmbH (operations1);42CAP II GmbH & Co. KG;;;Daniel;Grobe;Deutschland
cioplenu GmbH (operations1);42CAP II GmbH & Co. KG;;;Benjamin;Brockmann;Deutschland
codavel S.A.;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Diogo;Ferreira;Portugal
codavel S.A.;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Paulo;Oliveira;Portugal
codavel S.A.;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Rui;Costa;Portugal
codesphere GmbH;42Cap III GmbH & Co KG;Herr;;Elias;Groll;Deutschland
codesphere GmbH;42Cap III GmbH & Co KG;Herr;;Christian;Siemoneit;Deutschland
codesphere GmbH;42Cap III GmbH & Co KG;Herr;;Jonas;Zipprick;Deutschland
commercetools GmbH;Reimann Investor Management GmbH & Co. 2016 KG;Herr;;Dirk;Hoerig;Deutschland
commercetools GmbH;Reimann Investor Management GmbH & Co. 2016 KG;Herr;;Denis;Werner;Deutschland
conexus AI, Inc.;Alpha Intelligence Capital Fund 1;;;Eric;Daimler;Vereinigte Staaten von Amerika (USA)
conexus AI, Inc.;Alpha Intelligence Capital Fund 1;;;Ryan;Wisnesky;Vereinigte Staaten von Amerika (USA)
contractzen;Nordic Eye II SCSp;Herr;;Markus;Mikola;Finnland
contractzen;Nordic Eye II SCSp;Herr;;Riitta;Raesmaa;Finnland
crosser;42CAP II GmbH & Co. KG;;;Johan;Jonzon;""
crosser;42CAP II GmbH & Co. KG;;;Martin;Thunman;""
crosser;42CAP II GmbH & Co. KG;;;Ulf;Bjorklund;""
deepset GmbH;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Timo;Möller;Deutschland
deepset GmbH;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Malte;Pietsch;Deutschland
deepset GmbH;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Milos;Rusic;Deutschland
drishti;Alpha Intelligence Capital Fund 1;;;Ashish;Gupta;Vereinigte Staaten von Amerika (USA)
drishti;Alpha Intelligence Capital Fund 1;;;Krishnendu;Chaudhury;Vereinigte Staaten von Amerika (USA)
drishti;Alpha Intelligence Capital Fund 1;;;Prasad;Akella;Vereinigte Staaten von Amerika (USA)
ebot7;42CAP II GmbH & Co. KG;;;Fabian;Beringer;Deutschland
ebot7;42CAP II GmbH & Co. KG;;;Xaver;Lehmann;Deutschland
ebot7;42CAP II GmbH & Co. KG;;;Maximilian;Gerer;Deutschland
emporix;42CAP II GmbH & Co. KG;;;Andi;Schneider;Schweiz
evolutionQ;Quantonation I FPCI;Herr;;Michele;Mosca;Kanada
evolutionQ;Quantonation I FPCI;Herr;;Norbert;Lütkenhaus;Kanada
finiata;Redalpine Capital S.C.S., SICAR III;;;Jan;Einfeld;Deutschland
finiata;Redalpine Capital S.C.S., SICAR III;;;Amit;Kahana;Deutschland
finiata;Redalpine Capital S.C.S., SICAR III;;;Alexander;Beresford;Deutschland
finiata;Redalpine Capital S.C.S., SICAR III;;;Sebastian;Diemer;Deutschland
flowtyNFT Inc.;Greenfield One III GmbH & Co. KG;Herr;;Michael;Levy;Vereinigte Staaten von Amerika (USA)
flowtyNFT Inc.;Greenfield One III GmbH & Co. KG;Herr;;Austin;Kline;Vereinigte Staaten von Amerika (USA)
flowtyNFT Inc.;Greenfield One III GmbH & Co. KG;Herr;;Guillaume;Huot;Vereinigte Staaten von Amerika (USA)
iLOF;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Luís;Valente;Groß-Britanien (UK)
iLOF;Berlin Innovation Ventures 1 GmbH & Co KG;Frau;;Mehak;Mumtaz;Groß-Britanien (UK)
iLOF;Berlin Innovation Ventures 1 GmbH & Co KG;Frau;;Paula;Sampaio;Groß-Britanien (UK)
iLOF;Berlin Innovation Ventures 1 GmbH & Co KG;Frau;;Joana;Paiva;Groß-Britanien (UK)
mPower Technology, Inc.;Cottonwood Technology Fund III;Herr;;Dr. Murat;Okandan;Vereinigte Staaten von Amerika (USA)
mostlyAI;42CAP II GmbH & Co. KG;;;Roland;Boubela;Österreich
mostlyAI;42CAP II GmbH & Co. KG;;;Michael;Platzer;Österreich
mostlyAI;42CAP II GmbH & Co. KG;;;Klaudius;Kalcher;Österreich
nannyML NV;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Hakim;Elakhrass;Belgien
nannyML NV;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Wiljan;Cools;Belgien
nannyML NV;Berlin Innovation Ventures 1 GmbH & Co KG;Herr;;Wojtek;Kuberski;Belgien
natif.ai GmbH;Redalpine Capital S.C.S., SICAR VI;Herr;;Manuel;Zapp;Deutschland
natif.ai GmbH;Redalpine Capital S.C.S., SICAR VI;Herr;;Johannes;Korves;Deutschland
occtoo AB;42Cap III GmbH & Co KG;Herr;;Daniel;Brdarski;""
occtoo AB;42Cap III GmbH & Co KG;Herr;;Jimmy;Ekbäck;""
occtoo AB;42Cap III GmbH & Co KG;Herr;;Niclas;Mollin;""
ready2order;Reimann Investor Management GmbH & Co. 2016 KG;;;Markus;Bernhart;Österreich
ready2order;Reimann Investor Management GmbH & Co. 2016 KG;;;Christopher;Fuchs;Österreich
ready2order;Reimann Investor Management GmbH & Co. 2016 KG;;;Christoph;Zhu;Österreich
scoutbee;42CAP II GmbH & Co. KG;;;Lee;Galbraith;Deutschland
scoutbee;42CAP II GmbH & Co. KG;;;Gregor;Stühler;Deutschland
scoutbee;42CAP II GmbH & Co. KG;;;Christian;Heinrich;Deutschland
smatch GmbH;42Cap III GmbH & Co KG;Herr;;Max;Groberg;Deutschland
smatch GmbH;42Cap III GmbH & Co KG;Herr;;Hans-Martin;Vetter;Deutschland
starform;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Josh;Rosen;Vereinigte Staaten von Amerika (USA)
starform;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Lou;Fasulo;Vereinigte Staaten von Amerika (USA)
starform;BITKRAFT ESPORTS VENTURES I, L.P. (KY);;;Taylor;Daynes;Vereinigte Staaten von Amerika (USA)
superface;42CAP II GmbH & Co. KG;;;Radek;Novotny;Tschecische Republik
superface;42CAP II GmbH & Co. KG;;;Zdenek;Nemec;Tschecische Republik
usercentrics;Reimann Investor Management GmbH & Co. 2016 KG;;;Mischa;Rürup;Deutschland
usercentrics;Reimann Investor Management GmbH & Co. 2016 KG;;;Vinzent;Ellissen;Deutschland
usercentrics;Reimann Investor Management GmbH & Co. 2016 KG;;;Lisa;Gradow;Deutschland
voize;Redalpine Capital S.C.S., SICAR VI;Herr;;Fabio;Schmidberger;Deutschland
voize;Redalpine Capital S.C.S., SICAR VI;Herr;;Marcel;Schmidberger;Deutschland
voize;Redalpine Capital S.C.S., SICAR VI;Herr;;Erik;Ziegler;Deutschland
volders;Reimann Investor Management GmbH & Co. 2016 KG;;;Jan;Ansink;Deutschland
volders;Reimann Investor Management GmbH & Co. 2016 KG;;;Elvio;Viscosa;Deutschland
volders;Reimann Investor Management GmbH & Co. 2016 KG;;;Alexander;Krieger;Deutschland
